anti-racist_movement	trends_of_opinion
civil_society	trends_of_opinion
human_rights_movement	trends_of_opinion
patriotic_movement	trends_of_opinion
ecology_movement	trends_of_opinion
militarism	trends_of_opinion
associative_movement	trends_of_opinion
autonomous_movement	trends_of_opinion
youth_movement	trends_of_opinion
dissidence	trends_of_opinion
silent_majority	trends_of_opinion
workers'_movement	trends_of_opinion
farmers'_movement	trends_of_opinion
opposition	trends_of_opinion
women's_movement	trends_of_opinion
pacifism	trends_of_opinion
civil_disobedience	trends_of_opinion
non-violence	trends_of_opinion
antiglobalisation_movement	trends_of_opinion
social_movement	trends_of_opinion
capital_movement	free_movement_of_capital
venture_capital	capital_movement
venture_capital	free_movement_of_capital
recycling_of_capital	capital_movement
recycling_of_capital	free_movement_of_capital
trading_volume	capital_movement
trading_volume	free_movement_of_capital
repatriation_of_capital	capital_movement
repatriation_of_capital	free_movement_of_capital
foreign_capital	capital_movement
foreign_capital	free_movement_of_capital
capital_transfer	capital_movement
capital_transfer	free_movement_of_capital
investment_transaction	capital_movement
investment_transaction	free_movement_of_capital
speculative_capital	capital_movement
speculative_capital	free_movement_of_capital
export_of_capital	capital_movement
export_of_capital	free_movement_of_capital
outflow_of_capital	capital_movement
outflow_of_capital	free_movement_of_capital
mass_media	means_of_communication
television	mass_media
television	means_of_communication
commercial_media	mass_media
commercial_media	means_of_communication
private_media	mass_media
private_media	means_of_communication
broadcasting	mass_media
broadcasting	means_of_communication
local_media	mass_media
local_media	means_of_communication
waveband	mass_media
waveband	means_of_communication
press	mass_media
press	means_of_communication
seed	means_of_agricultural_production
seedling	means_of_agricultural_production
agricultural_building	means_of_agricultural_production
plant_health_product	means_of_agricultural_production
fertiliser	means_of_agricultural_production
agricultural_equipment	means_of_agricultural_production
complementarity_agreement	industrial_cooperation
complementarity_agreement	cooperation_policy
national_liberation_movement	national_independence
European_Movement	European_integration
European_Movement	deepening_of_the_European_Union
lease	property_leasing
business_lease	lease
business_lease	property_leasing
right_of_repossession	lease
right_of_repossession	property_leasing
length_of_lease	lease
length_of_lease	property_leasing
national_unification	national_independence
Western_European_Union	European_organisation
Eurocorps	Western_European_Union
Eurocorps	European_organisation
UN_Centre_for_Regional_Development	UN_research_and_training_institutes
Unesco	UN_specialised_agency
International_Bureau_of_Education	Unesco
International_Bureau_of_Education	UN_specialised_agency
International_Institute_for_Educational_Planning	Unesco
International_Institute_for_Educational_Planning	UN_specialised_agency
Unisist	Unesco
Unisist	UN_specialised_agency
Umm_al_Qaywayn	United_Arab_Emirates
Umm_al_Qaywayn	OPEC_countries
Umm_al_Qaywayn	GCC_countries
Umm_al_Qaywayn	Gulf_States
Umm_al_Qaywayn	Arab_world
Umm_al_Qaywayn	Arab_League_countries
Umm_al_Qaywayn	Middle_East
unanimity	majority_voting
France	WEU_countries
France	OECD_countries
France	NATO_countries
France	EU_Member_State
France	Council_of_Europe_countries
France	Western_Europe
Spain	WEU_countries
Spain	OECD_countries
Spain	NATO_countries
